site;src;index;date;temp;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;19,39;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;16,63;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,65;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;15,79;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;19,12;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,72;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,78;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;16,05;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;16,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;14,88;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;17,25;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,14;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;15,43;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;16,77;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;13,78;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;14,67;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;17,48;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,00;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;13,30;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;16,41;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;16,45;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,13;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,07;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,05;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,82;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;20,27;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;15,69;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;14,77;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,59;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;18,13;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;19,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;16,23;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;17,40;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;13,62;;;;;;;
Knysna;SAWS;Knysna/ SAWS;April;19,13;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,53;16,24547368;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;14,83;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;14,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,50;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,98;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,34;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;15,19;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,77;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;17,81;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,36;;;;;;;
