Station_ID;Re_hi;An_de;An_mi;Hi_pl;An_lu;Me_ae;Ra_ra;Mi_po;Ar_at;No_rk;Lu_la;Ma_vi;Bo_sa;Cy_lu;Cl_ha;Se_me;Le_de;Ga_mo;Le_ma;Se_ma;Tr_es;Ly_pa;Ly_eu;Ly_re;Ly_se;Ly_es;Ly_va;Be_gl;Ca_re;Tr_spp;ID_sum
405;3;1;0;187;0;60;11;0;1;2;0;45;0;0;0;166;0;172;1;0;0;0;0;1;0;0;22;0;2;0;674
406;1;1;1;22;0;4;3;0;7;1;0;19;0;0;0;13;0;44;1;0;1;0;0;2;0;0;7;0;4;0;131
407;0;1;1;39;0;3;2;0;10;0;0;2;0;0;0;9;4;196;1;0;0;0;0;0;0;0;3;0;7;0;278
409;0;0;0;38;0;0;1;0;10;0;4;3;1;0;0;0;6;277;10;1;0;0;0;0;0;0;0;0;0;19;370
410;5;1;2;106;0;1;6;0;19;0;5;5;0;0;0;14;5;295;2;5;0;0;1;4;0;0;0;2;6;2;486
411;6;2;0;253;0;0;5;0;10;0;1;67;31;0;0;0;6;439;2;0;0;0;0;0;0;0;2;0;0;0;824
412;5;0;1;87;0;1;3;0;5;0;9;6;6;0;0;0;13;672;11;2;0;0;0;1;0;0;0;0;0;1;823
413;1;0;0;145;0;0;0;0;12;0;10;7;207;0;0;3;27;904;47;0;0;0;1;5;0;0;0;0;0;30;1399
414;1;0;0;222;0;0;0;0;19;0;7;3;138;1;0;0;16;53;157;0;0;0;0;7;1;0;0;0;1;2;628
415;1;0;0;73;0;0;1;0;11;0;4;4;66;0;0;0;32;308;107;0;0;3;0;3;4;0;0;0;0;121;738
416;26;1;0;98;0;0;2;0;6;0;2;42;35;0;0;48;49;369;13;0;0;1;2;1;1;0;0;0;4;53;753
417;7;0;0;58;0;0;3;0;42;0;10;42;3647;1;0;0;0;0;293;0;0;0;0;4;0;0;0;0;0;292;4399
418;7;4;1;161;0;0;4;0;116;0;1;80;881;1;0;0;20;5;8;0;0;1;1;3;0;0;0;0;1;48;1343
419;0;0;0;128;0;0;0;0;13;0;0;398;68;0;0;0;8;903;25;2;0;0;0;4;0;0;0;0;0;19;1568
420;0;0;0;130;0;1;3;0;8;0;0;119;1;0;0;27;4;227;3;3;0;0;0;2;0;0;0;0;0;7;535
428;25;1;0;99;0;1;1;0;13;0;2;49;168;0;0;59;36;270;13;0;0;1;0;1;0;0;1;0;5;29;774
429;13;0;0;131;0;0;9;0;4;0;0;12;5;0;0;73;23;66;5;0;0;1;0;0;0;0;0;0;1;3;346
430;7;0;1;75;0;0;4;0;0;0;0;43;3;0;0;62;3;155;0;0;0;1;0;1;1;0;0;0;0;0;356
431;9;1;0;78;0;6;3;0;1;1;0;84;14;0;0;185;0;75;1;0;0;0;0;1;0;0;1;0;0;0;460
432;10;3;1;110;0;12;7;0;4;0;0;16;0;0;0;232;1;147;0;0;0;0;0;0;0;0;4;0;3;0;550
439;4;5;0;50;0;5;5;0;0;0;0;36;0;0;0;82;0;117;0;0;0;0;0;0;0;0;2;0;0;0;306
440;6;3;0;83;0;1;5;0;5;2;0;32;0;0;0;184;1;46;0;1;0;5;1;0;0;0;0;0;0;0;375
441;5;3;0;67;0;0;7;0;17;0;0;78;6;0;0;30;10;31;2;0;0;0;0;0;1;0;1;0;0;0;258
442;3;1;1;188;0;0;4;0;4;0;0;42;0;0;0;64;4;228;7;0;0;0;0;1;0;0;1;0;2;0;550
443;0;3;1;58;0;0;3;0;45;0;0;25;1;0;0;71;5;116;1;0;0;0;3;3;0;0;7;0;0;3;345
444;2;4;0;80;0;1;7;0;13;0;0;23;12;0;0;96;5;150;0;0;0;0;0;2;0;0;5;0;0;1;401
445;6;1;0;130;0;0;2;0;2;0;1;24;4;0;0;170;0;53;0;0;0;0;0;0;0;1;0;0;1;0;395
446;14;3;0;37;0;3;1;0;0;3;0;136;2;1;0;386;1;28;0;2;0;0;0;0;0;0;1;0;0;0;618
447;20;0;0;61;0;1;5;0;0;7;0;5;0;0;0;646;0;24;0;2;0;0;0;0;0;0;1;0;0;0;772
448;1;2;0;44;0;7;3;1;0;0;0;20;0;0;0;955;0;40;0;0;0;0;0;0;0;0;11;0;0;0;1084
